abode	abide
arose	arise
ate	eat
awoke	awake
beat	beat
became	become
befell	befall
began	begin
begot	beget
beheld	behold
bent	bend
bereft	bereave
beset	beset
besought	beseech
bespoke	bespeak
bestrode	bestride
bet	bet
bid	bid
bit	bite
bled	bleed
blew	blow
bore	bear
bought	buy
bound	bind
bred	breed
broke	break
brought	bring
built	build
burnt	burn
burst	burst
came	come
cast	cast
caught	catch
chose	choose
clung	cling
crept	creep
cut	cut
dealt	deal
did	do
drank	drink
dreamt	dream
drew	draw
drove	drive
dug	dig
dwelt	dwell
fed	feed
fell	fall
felt	feel
fled	flee
flew	fly
flung	fling
forbade	forbid
foresaw	foresee
foretold	foretell
forgave	forgive
forgot	forget
forsook	forsake
fought	fight
found	find
froze	freeze
gave	give
got	get
grew	grow
ground	grind
had	have
heard	hear
held	hold
hid	hide
hit	hit
hung	hang
hurt	hurt
interwove	interweave
kept	keep
knelt	kneel
knew	know
laid	lay
leant	lean
leapt	leap
learnt	learn
led	lead
left	leave
lent	lend
let	let
lost	lose
made	make
meant	mean
met	meet
mistook	mistake
overheard	overhear
oversaw	oversee
overslept	oversleep
paid	pay
put	put
ran	run
rang	ring
read	read
rent	rend
rid	rid
rode	ride
rose	rise
said	say
sang	sing
sank	sink
sat	sit
saw	see
sent	send
set	set
shed	shed
shit	shit
shod	shoe
shone	shine
shook	shake
shot	shoot
shrank	shrink
shrove	shrive
shut	shut
slept	sleep
slew	slay
slid	slide
slit	slit
slung	sling
slunk	slink
smelt	smell
smote	smite
sold	sell
sought	seek
spat	spit
sped	speed
spent	spend
split	split
spoilt	spoil
spoke	speak
sprang	spring
spread	spread
spun	spin
stank	stink
stole	steal
stood	stand
strode	stride
strove	strive
struck	strike
strung	string
stuck	stick
stung	sting
swam	swim
swept	sweep
swore	swear
swung	swing
taught	teach
thought	think
threw	throw
thrust	thrust
told	tell
took	take
tore	tear
trod	tread
understood	understand
undertook	undertake
undid	undo
upheld	uphold
upset	upset
was	be
went	go
wept	weep
were	be
withdrew	withdraw
withheld	withhold
withstood	withstand
woke	wake
won	win
wore	wear
wound	wind
wove	weave
wrote	write
wrung	wring
